logged_at_utc,position_id,coin,size,period_hours,hl_funding_actual_usd,mexc_funding_actual_usd,total_funding_actual_usd,total_funding_theoretical_usd,accuracy_pct,entry_fees_usd,slippage_usd,net_pnl_usd,annualized_apy_pct,hl_wallet
2026-04-03 13:42:47,POS-001,ETH,0.2491,25.79,0.020905,0.0,0.020905,-0.100988,-20.7,0.46,0.0,-0.277573,1.4,0xA3E3B7...
2026-04-03 14:57:40,POS-001,ETH,0.2491,1.25,-0.002302,0.0,-0.002302,-0.005385,42.75,0.46,0.0,-0.25897,-3.2,0xA3E3B7...
2026-04-03 15:50:24,POS-001,ETH,0.2491,0.88,0.000772,0.0,0.000772,-0.004116,-18.76,0.46,0.0,-0.258198,1.52,0xA3E3B7...
2026-04-03 16:55:36,POS-001,ETH,0.2491,1.09,-0.002428,0.0,-0.002428,-0.005296,45.84,0.46,0.0,-0.260626,-3.87,0xA3E3B7...
2026-04-03 17:49:47,POS-001,ETH,0.2491,0.9,0.000111,0.0,0.000111,-0.004607,-2.41,0.46,0.0,-0.260515,0.21,0xA3E3B7...
2026-04-03 19:01:58,POS-001,ETH,0.2491,1.2,-0.004762,0.0,-0.004762,-0.006254,76.15,0.46,0.0,-0.265277,-6.86,0xA3E3B7...
2026-04-03 19:50:04,POS-001,ETH,0.2491,0.8,0,0.0,0.0,-0.004209,-0.0,0.46,0.0,-0.265277,0.0,0xA3E3B7...
2026-04-03 20:51:33,POS-001,ETH,0.2491,1.02,0.001684,0.0,0.001684,-0.005414,-31.11,0.46,0.0,-0.263593,2.85,0xA3E3B7...
2026-04-03 21:47:16,POS-001,ETH,0.2491,0.93,0.000359,0.0,0.000359,-0.004535,-7.92,0.46,0.0,-0.263234,0.67,0xA3E3B7...
2026-04-03 22:50:29,POS-001,ETH,0.2491,1.05,0.002796,0.0,0.002796,-0.004676,-59.8,0.46,0.0,-0.260438,4.6,0xA3E3B7...
2026-04-03 23:46:47,POS-001,ETH,0.2491,0.94,0.000458,0.0,0.000458,-0.003645,-12.57,0.46,0.0,-0.25998,0.85,0xA3E3B7...
2026-04-04 03:12:16,POS-001,ETH,0.2491,3.42,0.010353,0.0,0.010353,-0.010536,-98.26,0.46,0.0,-0.249627,5.24,0xA3E3B7...
2026-04-04 05:33:40,POS-001,ETH,0.2491,2.36,0.007974,0.0,0.007974,-0.005273,-151.22,0.46,0.0,-0.241653,5.87,0xA3E3B7...
2026-04-04 07:14:38,POS-001,ETH,0.2491,1.68,0.007771,0.0,0.007771,-0.000903,-860.75,0.46,0.0,-0.233882,8.0,0xA3E3B7...
2026-04-04 08:55:48,POS-001,ETH,0.2491,1.69,0.005246,0.0,0.005246,0.001388,378.0,0.46,0.0,-0.228636,5.39,0xA3E3B7...
2026-04-04 09:51:55,POS-001,ETH,0.2491,0.94,0.002379,0.0,0.002379,0.001143,208.18,0.46,0.0,-0.226257,4.41,0xA3E3B7...
2026-04-04 10:49:45,POS-001,ETH,0.2491,0.96,0.004158,0.0,0.004158,0.001337,310.92,0.46,0.0,-0.222099,7.48,0xA3E3B7...
2026-04-04 11:38:56,POS-001,ETH,0.2491,0.82,0.005284,0.0,0.005284,0.001249,422.92,0.46,0.0,-0.216815,11.17,0xA3E3B7...
2026-04-04 13:18:41,POS-001,ETH,0.2491,1.66,0.012418,0.0,0.012418,0.002895,428.88,0.46,0.0,-0.204397,12.95,0xA3E3B7...
2026-04-04 14:48:03,POS-001,ETH,0.2491,1.49,0.003639,0.0,0.003639,0.00305,119.32,0.46,0.0,-0.200758,4.23,0xA3E3B7...
2026-04-04 15:45:37,POS-001,ETH,0.2491,0.96,0.003604,0.0,0.003604,0.002343,153.83,0.46,0.0,-0.197154,6.51,0xA3E3B7...
2026-04-04 16:50:39,POS-001,ETH,0.2491,1.08,0.006402,0.0,0.006402,0.002881,222.25,0.46,0.0,-0.190752,10.24,0xA3E3B7...
2026-04-04 17:44:32,POS-001,ETH,0.2491,0.9,0.00479,0.0,0.00479,0.002524,189.76,0.46,0.0,-0.185962,9.24,0xA3E3B7...
2026-04-04 18:59:53,POS-001,ETH,0.2491,1.26,0.006106,0.0,0.006106,0.003991,152.98,0.46,0.0,-0.179856,8.43,0xA3E3B7...
2026-04-04 19:41:10,POS-001,ETH,0.2491,0.69,0.006399,0.0,0.006399,0.002395,267.14,0.46,0.0,-0.173457,16.12,0xA3E3B7...
2026-04-04 20:47:45,POS-001,ETH,0.2491,1.11,0.006428,0.0,0.006428,0.004231,151.93,0.46,0.0,-0.167029,10.04,0xA3E3B7...
2026-04-04 21:43:47,POS-001,ETH,0.2491,0.93,0.004998,0.0,0.004998,0.003884,128.69,0.46,0.0,-0.162031,9.28,0xA3E3B7...
2026-04-04 22:46:22,POS-001,ETH,0.2491,1.04,0.006441,0.0,0.006441,0.004513,142.71,0.46,0.0,-0.15559,10.7,0xA3E3B7...
2026-04-04 23:42:53,POS-001,ETH,0.2491,0.94,0.006442,0.0,0.006442,0.004285,150.35,0.46,0.0,-0.149148,11.85,0xA3E3B7...
2026-04-05 03:34:21,POS-001,ETH,0.2491,3.86,0.013665,0.0,0.013665,0.016806,81.31,0.46,0.0,-0.135483,6.14,0xA3E3B7...
2026-04-05 05:50:36,POS-001,ETH,0.2491,2.27,0.006946,0.0,0.006946,0.010263,67.68,0.46,0.0,-0.128537,5.3,0xA3E3B7...
2026-04-05 07:21:16,POS-001,ETH,0.2491,1.51,0.005121,0.0,0.005121,0.006867,74.58,0.46,0.0,-0.123416,5.87,0xA3E3B7...
2026-04-05 08:57:53,POS-001,ETH,0.2491,1.61,0.00027,0.0,0.00027,0.007122,3.79,0.46,0.0,-0.123146,0.29,0xA3E3B7...
2026-04-05 09:53:08,POS-001,ETH,0.2491,0.92,0.000336,0.0,0.000336,0.003997,8.41,0.46,0.0,-0.12281,0.63,0xA3E3B7...
2026-04-05 10:51:41,POS-001,ETH,0.2491,0.98,0.001773,0.0,0.001773,0.004171,42.51,0.46,0.0,-0.121037,3.15,0xA3E3B7...
2026-04-05 11:40:17,POS-001,ETH,0.2491,0.81,0.002048,0.0,0.002048,0.003441,59.52,0.46,0.0,-0.118989,4.38,0xA3E3B7...
2026-04-05 13:19:28,POS-001,ETH,0.2491,1.65,0.000837,0.0,0.000837,0.006475,12.93,0.46,0.0,-0.118152,0.88,0xA3E3B7...
2026-04-05 14:49:58,POS-001,ETH,0.2491,1.51,-0.002373,0.0,-0.002373,0.004603,-51.55,0.46,0.0,-0.120525,-2.73,0xA3E3B7...
2026-04-05 15:46:28,POS-001,ETH,0.2491,0.94,-0.000811,0.0,-0.000811,0.002688,-30.17,0.46,0.0,-0.121336,-1.49,0xA3E3B7...
2026-04-05 16:50:54,POS-001,ETH,0.2491,1.07,0.002022,0.0,0.002022,0.003111,65.0,0.46,0.0,-0.119314,3.26,0xA3E3B7...
2026-04-05 17:46:00,POS-001,ETH,0.2491,0.92,0.001246,0.0,0.001246,0.0025,49.84,0.46,0.0,-0.118068,2.35,0xA3E3B7...
2026-04-05 19:01:23,POS-001,ETH,0.2491,1.26,0.004376,0.0,0.004376,0.003288,133.08,0.46,0.0,-0.113692,6.04,0xA3E3B7...
2026-04-05 19:45:05,POS-001,ETH,0.2491,0.73,0,0.0,0.0,0.001798,0.0,0.46,0.0,-0.113692,0.0,0xA3E3B7...
2026-04-05 20:48:59,POS-001,ETH,0.2491,1.07,0.002523,0.0,0.002523,0.002475,101.94,0.46,0.0,-0.111169,4.11,0xA3E3B7...
2026-04-05 21:45:09,POS-001,ETH,0.2491,0.94,0.002941,0.0,0.002941,0.002071,142.0,0.46,0.0,-0.108228,5.45,0xA3E3B7...
2026-04-05 22:48:16,POS-001,ETH,0.2491,1.05,0.002855,0.0,0.002855,0.002099,136.03,0.46,0.0,-0.105373,4.7,0xA3E3B7...
2026-04-05 23:47:20,POS-001,ETH,0.2491,0.98,0.002329,0.0,0.002329,0.001964,118.59,0.46,0.0,-0.103044,4.1,0xA3E3B7...
2026-04-06 03:36:37,POS-001,ETH,0.2491,3.82,0.025325,0.0,0.025325,0.007451,339.89,0.46,0.0,-0.077719,11.49,0xA3E3B7...
2026-04-06 06:05:20,POS-001,ETH,0.2491,2.48,0.014908,0.0,0.014908,0.005063,294.46,0.46,0.0,-0.062811,10.43,0xA3E3B7...
2026-04-06 07:59:17,POS-001,ETH,0.2491,1.9,0.00488,0.0,0.00488,0.004231,115.35,0.46,0.0,-0.057931,4.45,0xA3E3B7...
2026-04-06 09:21:32,POS-001,ETH,0.2491,1.37,0.013092,0.0,0.013092,0.003125,418.91,0.46,0.0,-0.044839,16.55,0xA3E3B7...
2026-04-06 11:09:21,POS-001,ETH,0.2491,1.8,0.01302,0.0,0.01302,0.004311,302.02,0.46,0.0,-0.031819,12.56,0xA3E3B7...
2026-04-06 11:57:35,POS-001,ETH,0.2491,0.8,0,0.0,0.0,0.002123,0.0,0.46,0.0,-0.031819,0.0,0xA3E3B7...
2026-04-06 13:42:16,POS-001,ETH,0.2491,1.74,0.012861,0.0,0.012861,0.004304,298.83,0.46,0.0,-0.018958,12.78,0xA3E3B7...
2026-04-06 15:03:26,POS-001,ETH,0.2491,1.35,0.003805,0.0,0.003805,0.003348,113.65,0.46,0.0,-0.015153,4.88,0xA3E3B7...
2026-04-06 15:58:54,POS-001,ETH,0.2491,0.92,0,0.0,0.0,0.002134,0.0,0.46,0.0,-0.015153,0.0,0xA3E3B7...
2026-04-06 17:02:48,POS-001,ETH,0.2491,1.07,0.001164,0.0,0.001164,0.00265,43.93,0.46,0.0,-0.013989,1.89,0xA3E3B7...
2026-04-06 18:00:14,POS-001,ETH,0.2491,0.96,0.00153,0.0,0.00153,0.002583,59.24,0.46,0.0,-0.012459,2.77,0xA3E3B7...
2026-04-06 19:16:07,POS-001,ETH,0.2491,1.26,0.002295,0.0,0.002295,0.003345,68.62,0.46,0.0,-0.010164,3.14,0xA3E3B7...
2026-04-06 20:51:59,POS-001,ETH,0.2491,1.6,0.000945,0.0,0.000945,0.00412,22.93,0.46,0.0,-0.009219,1.03,0xA3E3B7...
2026-04-06 21:49:06,POS-001,ETH,0.2491,0.95,-0.000387,0.0,-0.000387,0.002537,-15.25,0.46,0.0,-0.009606,-0.7,0xA3E3B7...
2026-04-06 22:52:40,POS-001,ETH,0.2491,1.06,0.001238,0.0,0.001238,0.002733,45.29,0.46,0.0,-0.008368,2.03,0xA3E3B7...
2026-04-06 23:48:58,POS-001,ETH,0.2491,0.94,-0.002622,0.0,-0.002622,0.002239,-117.08,0.46,0.0,-0.01099,-4.84,0xA3E3B7...
2026-04-07 03:27:09,POS-001,ETH,0.2491,3.64,-0.001547,0.0,-0.001547,0.007866,-19.67,0.46,0.0,-0.012537,-0.74,0xA3E3B7...
2026-04-07 05:53:04,POS-001,ETH,0.2491,2.43,0.004894,0.0,0.004894,0.004728,103.52,0.46,0.0,-0.007643,3.49,0xA3E3B7...
2026-04-07 07:47:09,POS-001,ETH,0.2491,1.9,0.004136,0.0,0.004136,0.003808,108.61,0.46,0.0,-0.003507,3.77,0xA3E3B7...
2026-04-07 09:18:10,POS-001,ETH,0.2491,1.52,0.008693,0.0,0.008693,0.003255,267.07,0.46,0.0,0.005186,9.93,0xA3E3B7...
2026-04-07 11:11:56,POS-001,ETH,0.2491,1.9,0.009608,0.0,0.009608,0.00428,224.5,0.46,0.0,0.014794,8.78,0xA3E3B7...
2026-04-07 13:57:31,POS-001,ETH,0.2491,2.76,0.004723,0.0,0.004723,0.006328,74.64,0.46,0.0,0.019517,2.97,0xA3E3B7...
2026-04-07 15:24:16,POS-001,ETH,0.2491,1.45,0.00967,0.0,0.00967,0.00338,286.06,0.46,0.0,0.029187,11.59,0xA3E3B7...
2026-04-07 17:13:53,POS-001,ETH,0.2491,1.83,0.012965,0.0,0.012965,0.004272,303.51,0.46,0.0,0.042152,12.3,0xA3E3B7...
2026-04-07 19:19:46,POS-001,ETH,0.2491,2.1,0.009522,0.0,0.009522,0.004874,195.38,0.46,0.0,0.051674,7.87,0xA3E3B7...
2026-04-07 21:00:57,POS-001,ETH,0.2491,1.69,0.00732,0.0,0.00732,0.00377,194.18,0.46,0.0,0.058994,7.52,0xA3E3B7...
2026-04-07 21:54:49,POS-001,ETH,0.2491,0.9,0,0.0,0.0,0.002025,0.0,0.46,0.0,0.058994,0.0,0xA3E3B7...
2026-04-07 22:54:36,POS-001,ETH,0.2491,1.0,0.006678,0.0,0.006678,0.002558,261.06,0.46,0.0,0.065672,11.62,0xA3E3B7...
2026-04-07 23:52:12,POS-001,ETH,0.2491,0.96,0.006909,0.0,0.006909,0.00264,261.66,0.46,0.0,0.072581,12.47,0xA3E3B7...
2026-04-08 03:29:08,POS-001,ETH,0.2491,3.62,0.027858,0.0,0.027858,0.010977,253.79,0.46,0.0,0.100439,13.36,0xA3E3B7...
2026-04-08 05:54:07,POS-001,ETH,0.2491,2.42,0.01394,0.0,0.01394,0.007811,178.46,0.46,0.0,0.114379,10.0,0xA3E3B7...
2026-04-08 07:50:50,POS-001,ETH,0.2491,1.95,0.013969,0.0,0.013969,0.006663,209.65,0.46,0.0,0.128348,12.45,0xA3E3B7...
2026-04-08 09:16:46,POS-001,ETH,0.2491,1.43,0.014043,0.0,0.014043,0.005152,272.58,0.46,0.0,0.142391,17.0,0xA3E3B7...
2026-04-08 11:13:02,POS-001,ETH,0.2491,1.94,0.013988,0.0,0.013988,0.007363,189.97,0.46,0.0,0.156379,12.51,0xA3E3B7...
2026-04-08 13:59:27,POS-001,ETH,0.2491,2.77,0.014021,0.0,0.014021,0.01201,116.74,0.46,0.0,0.1704,8.76,0xA3E3B7...
2026-04-08 15:40:20,POS-001,ETH,0.2491,1.68,0.013799,0.0,0.013799,0.007922,174.18,0.46,0.0,0.184199,14.22,0xA3E3B7...
2026-04-08 17:18:49,POS-001,ETH,0.2491,1.64,0.013813,0.0,0.013813,0.008257,167.29,0.46,0.0,0.198012,14.59,0xA3E3B7...
2026-04-08 19:38:33,POS-001,ETH,0.2491,2.33,0.013803,0.0,0.013803,0.012649,109.12,0.46,0.0,0.211815,10.27,0xA3E3B7...
2026-04-08 20:59:05,POS-001,ETH,0.2491,1.34,0.006885,0.0,0.006885,0.007883,87.33,0.46,0.0,0.2187,8.89,0xA3E3B7...
2026-04-08 21:56:35,POS-001,ETH,0.2491,0.96,0.005836,0.0,0.005836,0.005631,103.64,0.46,0.0,0.224536,10.56,0xA3E3B7...
2026-04-08 22:57:06,POS-001,ETH,0.2491,1.01,0.006343,0.0,0.006343,0.005796,109.44,0.46,0.0,0.230879,10.9,0xA3E3B7...
2026-04-08 23:50:51,POS-001,ETH,0.2491,0.9,0.003081,0.0,0.003081,0.005211,59.12,0.46,0.0,0.23396,5.96,0xA3E3B7...
